date,E0_ave
2024-09-24,4.9295
2024-09-25,4.6294
2024-09-26,4.523
2024-09-27,4.6426
2024-09-28,4.4349
2024-09-29,5.268
2024-09-30,5.2028
2024-10-01,4.9246
2024-10-02,4.9621
2024-10-03,5.3582
2024-10-04,4.8966
2024-10-05,4.714
2024-10-06,4.7109
2024-10-07,4.3596
2024-10-08,4.6457
2024-10-09,4.7681
2024-10-10,4.7076
2024-10-11,4.3895
2024-10-12,4.482
2024-10-13,4.6632
2024-10-14,4.8652
2024-10-15,5.1102
2024-10-16,5.0762
2024-10-17,4.9317
2024-10-18,4.6485
2024-10-19,4.3014
2024-10-20,4.3754
2024-10-21,4.382
2024-10-22,4.426
2024-10-23,4.5406
2024-10-24,4.5256
2024-10-25,4.3488
2024-10-26,4.357
2024-10-27,4.4001
2024-10-28,4.5005
2024-10-29,4.1902
2024-10-30,4.1797
2024-10-31,4.4789
2024-11-01,4.4584
2024-11-02,4.2355
2024-11-03,4.3734
2024-11-04,4.3841
2024-11-05,4.1671
2024-11-06,4.0623
2024-11-07,4.0103
2024-11-08,3.7842
2024-11-09,3.8678
2024-11-10,3.6097
2024-11-11,3.8041
2024-11-12,3.9041
2024-11-13,3.532
2024-11-14,3.5226
2024-11-15,3.5339
2024-11-16,3.3634
2024-11-17,3.5351
2024-11-18,3.3258
2024-11-19,3.3115
2024-11-20,3.2956
2024-11-21,3.5785
2024-11-22,3.2484
2024-11-23,2.996
2024-11-24,2.9635
2024-11-25,2.9798
2024-11-26,3.1121
2024-11-27,3.0794
2024-11-28,3.0681
2024-11-29,2.9419
2024-11-30,2.8313
2024-12-01,2.8438
2024-12-02,2.8822
2024-12-03,2.8776
2024-12-04,2.9092
2024-12-05,2.8016
2024-12-06,2.8759
2024-12-07,2.8861
2024-12-08,2.8534
2024-12-09,2.8648
2024-12-10,3.0356
2024-12-11,2.6111
2024-12-12,2.6092
2024-12-13,2.5396
2024-12-14,2.4299
2024-12-15,2.5242
2024-12-16,2.4265
2024-12-17,2.6182
2024-12-18,2.7953
2024-12-19,2.7719
2024-12-20,2.6694
2024-12-21,2.576
2024-12-22,2.6863
2024-12-23,2.7387
2024-12-24,2.643
2024-12-25,2.5449
2024-12-26,2.5413
2024-12-27,2.4116
2024-12-28,2.4729
2024-12-29,2.6855
2024-12-30,2.4569
2024-12-31,2.4169
